Training started on: 2015-05-25 17:59:56.538000
Trial Number,Gesture,True Positives,False Positives,False Negatives
trial 0,A,5.0,0.0,10.0
trial 0,C,15.0,0.0,4.0
trial 0,B,4.0,27.0,11.0
trial 0,Two,1.0,0.0,10.0
trial 0,G,13.0,0.0,2.0
trial 0,F,4.0,0.0,8.0
trial 0,Three,8.0,0.0,19.0
trial 0,One,8.0,0.0,6.0
trial 0,Four,4.0,5.0,9.0
trial 0,Five,17.0,37.0,0.0
trial 0,E,5.0,13.0,3.0
trial 1,A,1.0,0.0,11.0
trial 1,C,8.0,2.0,0.0
trial 1,B,6.0,42.0,13.0
trial 1,E,10.0,10.0,5.0
trial 1,Three,1.0,0.0,17.0
trial 1,G,11.0,0.0,1.0
trial 1,F,9.0,2.0,3.0
trial 1,Two,4.0,0.0,20.0
trial 1,One,7.0,0.0,9.0
trial 1,Four,2.0,9.0,12.0
trial 1,Five,17.0,26.0,0.0
trial 2,A,6.0,0.0,15.0
trial 2,C,10.0,1.0,3.0
trial 2,B,4.0,30.0,9.0
trial 2,E,6.0,21.0,2.0
trial 2,Three,3.0,0.0,15.0
trial 2,G,12.0,0.0,0.0
trial 2,F,4.0,5.0,14.0
trial 2,Two,5.0,0.0,8.0
trial 2,One,9.0,0.0,10.0
trial 2,Four,6.0,5.0,13.0
trial 2,Five,13.0,27.0,0.0
trial 3,A,3.0,0.0,7.0
trial 3,C,3.0,3.0,3.0
trial 3,B,4.0,36.0,3.0
trial 3,E,8.0,16.0,5.0
trial 3,Three,1.0,0.0,21.0
trial 3,G,22.0,0.0,1.0
trial 3,F,6.0,5.0,11.0
trial 3,Two,5.0,0.0,16.0
trial 3,One,3.0,0.0,14.0
trial 3,Four,2.0,9.0,13.0
trial 3,Five,16.0,25.0,0.0
trial 4,A,8.0,0.0,8.0
trial 4,C,9.0,1.0,3.0
trial 4,B,6.0,37.0,15.0
trial 4,E,9.0,14.0,7.0
trial 4,G,4.0,0.0,1.0
trial 4,F,5.0,1.0,9.0
trial 4,Two,3.0,0.0,7.0
trial 4,Three,3.0,0.0,21.0
trial 4,One,7.0,0.0,8.0
trial 4,Four,5.0,3.0,17.0
trial 4,Five,12.0,40.0,0.0
trial 5,A,6.0,0.0,7.0
trial 5,C,5.0,3.0,5.0
trial 5,B,6.0,44.0,13.0
trial 5,E,5.0,13.0,6.0
trial 5,G,17.0,0.0,0.0
trial 5,F,4.0,4.0,7.0
trial 5,Two,6.0,0.0,19.0
trial 5,Three,3.0,0.0,24.0
trial 5,One,1.0,0.0,6.0
trial 5,Four,7.0,5.0,8.0
trial 5,Five,11.0,26.0,0.0
trial 6,A,5.0,0.0,12.0
trial 6,C,7.0,1.0,5.0
trial 6,B,3.0,39.0,11.0
trial 6,E,10.0,19.0,3.0
trial 6,G,11.0,0.0,1.0
trial 6,F,4.0,2.0,7.0
trial 6,Two,4.0,0.0,18.0
trial 6,Three,3.0,0.0,19.0
trial 6,One,7.0,0.0,11.0
trial 6,Four,5.0,8.0,10.0
trial 6,Five,11.0,28.0,0.0
trial 7,A,9.0,0.0,13.0
trial 7,C,3.0,2.0,2.0
trial 7,B,6.0,40.0,6.0
trial 7,E,8.0,15.0,3.0
trial 7,G,22.0,0.0,0.0
trial 7,F,6.0,0.0,6.0
trial 7,Two,5.0,0.0,11.0
trial 7,Three,3.0,0.0,19.0
trial 7,Four,10.0,4.0,13.0
trial 7,Five,11.0,20.0,0.0
trial 7,One,3.0,0.0,8.0
trial 8,A,7.0,0.0,13.0
trial 8,C,5.0,1.0,5.0
trial 8,B,2.0,34.0,6.0
trial 8,E,13.0,18.0,3.0
trial 8,Three,1.0,0.0,20.0
trial 8,G,14.0,0.0,0.0
trial 8,F,7.0,4.0,14.0
trial 8,Two,4.0,0.0,13.0
trial 8,One,1.0,0.0,12.0
trial 8,Four,7.0,7.0,11.0
trial 8,Five,9.0,33.0,0.0
trial 9,A,2.0,0.0,13.0
trial 9,C,5.0,2.0,7.0
trial 9,B,2.0,38.0,7.0
trial 9,E,7.0,18.0,6.0
trial 9,G,10.0,0.0,5.0
trial 9,F,4.0,3.0,6.0
trial 9,Three,5.0,0.0,24.0
trial 9,Two,2.0,0.0,12.0
trial 9,Four,11.0,5.0,12.0
trial 9,Five,15.0,33.0,0.0
trial 9,One,5.0,0.0,7.0
